Wavelength,solo04,solo05,solo06,solo07,solo08
350,"0,038567","0,008320","0,056438","0,070785","0,025268"
351,"0,037856","0,010631","0,059066","0,067964","0,011184"
352,"0,025310","-0,001066","0,059856","0,071682","0,016167"
353,"0,026946","0,018130","0,062452","0,083674","0,028843"
354,"0,039926","0,048163","0,061450","0,090315","0,036656"
355,"0,038649","0,022467","0,046263","0,070434","0,029909"
356,"0,034401","0,017308","0,043623","0,076869","0,024167"
357,"0,033359","0,025766","0,055215","0,079162","0,025745"
358,"0,035568","0,029920","0,068551","0,067318","0,032872"
359,"0,034722","0,013080","0,058760","0,070734","0,036191"
360,"0,024864","0,021262","0,052686","0,070486","0,029611"
361,"0,023057","0,029738","0,049848","0,072917","0,027751"
362,"0,034322","0,020538","0,047179","0,079141","0,036411"
363,"0,028250","0,022618","0,049250","0,067381","0,033651"
364,"0,023253","0,017189","0,048355","0,061277","0,031235"
365,"0,023208","0,012718","0,045746","0,062116","0,032151"
366,"0,026177","0,018822","0,045093","0,064304","0,035385"
367,"0,027426","0,020743","0,048875","0,065820","0,036223"
368,"0,028554","0,017129","0,048578","0,066472","0,037578"
369,"0,027927","0,013021","0,045931","0,066061","0,036833"
370,"0,023998","0,014660","0,046606","0,064781","0,031045"
371,"0,028972","0,015603","0,041702","0,066071","0,036807"
372,"0,029712","0,013402","0,040926","0,064264","0,039228"
373,"0,023405","0,011612","0,042948","0,060022","0,034445"
374,"0,018862","0,017814","0,036066","0,060135","0,031367"
375,"0,019699","0,017249","0,037739","0,061031","0,030867"
376,"0,022422","0,017485","0,042765","0,063279","0,033779"
377,"0,023807","0,021489","0,045077","0,066430","0,038286"
378,"0,023154","0,018207","0,043345","0,067483","0,038648"
379,"0,024026","0,017298","0,042375","0,064956","0,036807"
380,"0,023984","0,017956","0,042520","0,064302","0,036336"
381,"0,021442","0,017780","0,042673","0,068368","0,038704"
382,"0,022414","0,018443","0,041217","0,066711","0,037771"
383,"0,022220","0,017801","0,040919","0,064855","0,037199"
384,"0,021059","0,016127","0,041454","0,065263","0,037142"
385,"0,021176","0,014848","0,041355","0,067737","0,036385"
386,"0,021983","0,014354","0,042009","0,066864","0,036234"
387,"0,022113","0,015422","0,043319","0,066770","0,037653"
388,"0,021379","0,016774","0,044007","0,067596","0,039020"
389,"0,020666","0,015805","0,042334","0,065839","0,037068"
390,"0,019966","0,017439","0,044024","0,067510","0,037721"
391,"0,019864","0,018263","0,043369","0,068826","0,038476"
392,"0,020599","0,016688","0,039711","0,067908","0,037732"
393,"0,021801","0,016226","0,043927","0,068565","0,037552"
394,"0,022582","0,016676","0,044455","0,069365","0,038887"
395,"0,022865","0,017414","0,043789","0,069945","0,040285"
396,"0,022700","0,017765","0,045490","0,070211","0,040364"
397,"0,021627","0,017742","0,043267","0,070258","0,040371"
398,"0,020388","0,016173","0,044382","0,069248","0,040513"
399,"0,019698","0,014658","0,046092","0,068860","0,040079"
400,"0,020073","0,015544","0,042591","0,071017","0,038500"
401,"0,021208","0,016271","0,044242","0,070442","0,039265"
402,"0,021705","0,016419","0,045276","0,070493","0,040148"
403,"0,021445","0,016381","0,044536","0,071550","0,040273"
404,"0,021576","0,017069","0,046356","0,070612","0,040572"
405,"0,021046","0,017232","0,045448","0,071145","0,040661"
406,"0,020553","0,017572","0,045260","0,071975","0,041091"
407,"0,020630","0,018190","0,047371","0,072057","0,041874"
408,"0,020978","0,017323","0,046808","0,072247","0,041737"
409,"0,020872","0,016670","0,046882","0,071324","0,041159"
410,"0,020988","0,016752","0,047567","0,071756","0,041183"
411,"0,021798","0,017361","0,047894","0,075100","0,042307"
412,"0,021146","0,017214","0,047155","0,075394","0,042420"
413,"0,021493","0,016337","0,047492","0,074978","0,042071"
414,"0,021993","0,016037","0,048614","0,074789","0,042010"
415,"0,020375","0,017697","0,048881","0,074734","0,042801"
416,"0,020847","0,016912","0,049228","0,074764","0,042878"
417,"0,021596","0,017032","0,049653","0,074713","0,042925"
418,"0,021543","0,018346","0,049839","0,074657","0,043101"
419,"0,021326","0,016575","0,049241","0,074957","0,042658"
420,"0,021692","0,016697","0,050380","0,075804","0,042673"
421,"0,022088","0,017785","0,051793","0,076879","0,043073"
422,"0,022035","0,018197","0,052072","0,077696","0,043490"
423,"0,021900","0,017719","0,052145","0,077588","0,043485"
424,"0,022509","0,018070","0,052165","0,077565","0,043418"
425,"0,022889","0,018427","0,052474","0,077901","0,043895"
426,"0,021934","0,017529","0,053163","0,078386","0,045058"
427,"0,021827","0,017575","0,052707","0,078002","0,044181"
428,"0,021913","0,017863","0,053257","0,078340","0,043811"
429,"0,021907","0,017860","0,054470","0,079111","0,044403"
430,"0,022006","0,017438","0,054008","0,078537","0,044451"
431,"0,022619","0,017804","0,055274","0,079223","0,044866"
432,"0,022923","0,018334","0,056523","0,079748","0,045196"
433,"0,022561","0,018410","0,056496","0,079398","0,045157"
434,"0,022273","0,017886","0,056114","0,079837","0,045050"
435,"0,022363","0,018091","0,056932","0,080490","0,045755"
436,"0,022941","0,018498","0,058063","0,081031","0,046258"
437,"0,023715","0,018372","0,058326","0,081202","0,045674"
438,"0,023235","0,018561","0,058580","0,080663","0,045878"
439,"0,022927","0,018358","0,058812","0,080708","0,046049"
440,"0,023087","0,017921","0,059060","0,081217","0,046031"
441,"0,023227","0,017957","0,059401","0,081251","0,046162"
442,"0,023506","0,018580","0,059924","0,081817","0,046767"
443,"0,023713","0,018745","0,060364","0,082184","0,047001"
444,"0,023780","0,018346","0,060630","0,082193","0,046738"
445,"0,023884","0,018776","0,060935","0,082780","0,047057"
446,"0,023939","0,018727","0,061113","0,082662","0,047140"
447,"0,023846","0,018705","0,061134","0,082528","0,047121"
448,"0,023689","0,019143","0,061074","0,083041","0,047212"
449,"0,024198","0,018755","0,061241","0,083190","0,047092"
450,"0,024311","0,018588","0,061337","0,083234","0,047201"
451,"0,024167","0,018792","0,061507","0,083223","0,047373"
452,"0,024448","0,019029","0,061977","0,083142","0,047229"
453,"0,024511","0,019470","0,061610","0,083483","0,047548"
